Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Glen Oak Country Club,5,9,15,7,3,17,1,13,11,4,18,8,14,2,12,16,10,6
1,Glen Oak Country Club,5,9,15,7,3,17,1,13,11,4,18,8,14,2,12,16,10,6
2,Village Links 18 Hole,13,3,15,1,11,5,7,17,9,12,18,14,2,8,4,6,16,10
3,Village Links 18 Hole,13,3,15,1,11,5,7,17,9,12,18,14,2,8,4,6,16,10
4,Klein Creek Golf Club,9,3,5,15,13,11,7,17,1,10,4,14,6,16,12,8,18,2
5,TPC Deere Run,17,7,9,5,3,13,15,11,1,8,6,12,16,18,4,14,10,2
6,Glen Oak Country Club,5,9,15,7,3,17,1,13,11,4,18,8,14,2,12,16,10,6
7,Glen Oak Country Club,5,9,15,7,3,17,1,13,11,4,18,8,14,2,12,16,10,6
8,Dubsdread,9,17,7,5,3,15,11,13,1,14,2,18,6,16,4,10,12,8
9,Old Wayne Golf Club,9,7,1,11,13,3,5,17,15,14,4,18,10,6,2,12,16,8
10,Glen Oak Country Club,5,9,15,7,3,17,1,13,11,4,18,8,14,2,12,16,10,6
